id,product_number,quantity,price,discount,featured,name,description,images,variants,category_link,category,product_colors,brand_link,brand_name,Order Items
68,3412,1800,₦500,,false,"1"" Tee","Used to split or join water flow in a T-shaped configuration within a 1"" pipe system. It allows water to be diverted in two directions. Made of strong materials like PVC, brass, or copper. Ideal for distributing water to multiple outlets. Can handle high or medium water pressure. Installed using solvent cement or threading. Provides flexibility in designing water distribution layouts.","3tee-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/oYsY5LS4ChARjiQeAHjPJw/yi7xnT0nHukuZSzxLVqW_bOX7pTljq8xJk6J8_5-klzfLOS1f6qnpoP9wHbGrI1e5mMc4xbRW6boA2jmXYcJcq9gzOMt7NecjS6-6S8h0FzaW-ZYhUMtgi92MU8wTQmvPJP9g2QrcNaL--fbajnN1I17LhpYGFn2Q2JlttZ0fx4/kVOYuZKu2x60wJAdWYjEhC6r_WZ1AFbyIUYX2tZ8B1w),3tee2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/2Upc1QH17xHUoUoVUfedSA/E2MHDLp3_d_IuTd80q1lZ9_tuI2ieNe-U2pvB3dWBQZGDGQ8qFYlxjrn66CPQc5JBz2XH9tPQf2f--y5l-qYBas1VmKUuycqkqMLpQtHWbtdrRuqW2iCEGV9LVam5n4HkZuaxb2Do-MsVegaJ531_jS66F9J0g2dwi2PJbJR2VwRwnE36gwcrEXMoT-D-yNS/SzdWqYPcnbuKwUyyJAN_Oz4lS5Wj8AqkochTwic3iRc)",,P.V.C Fittings,P.V.C Fittings,,,,
69,6017,1800,₦450,,false,"3/4"" Tee","Used in plumbing to branch off a main 3/4"" water line into two separate directions. Offers equal flow distribution to multiple fixtures. Made of pressure-resistant materials. Often used in irrigation and household systems. Easy to install and offers tight sealing. Joins efficiently with pipes using cement or mechanical connectors. Useful for creating water loops or dual access points.","3tee-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/oYsY5LS4ChARjiQeAHjPJw/yi7xnT0nHukuZSzxLVqW_bOX7pTljq8xJk6J8_5-klzfLOS1f6qnpoP9wHbGrI1e5mMc4xbRW6boA2jmXYcJcq9gzOMt7NecjS6-6S8h0FzaW-ZYhUMtgi92MU8wTQmvPJP9g2QrcNaL--fbajnN1I17LhpYGFn2Q2JlttZ0fx4/kVOYuZKu2x60wJAdWYjEhC6r_WZ1AFbyIUYX2tZ8B1w),3tee2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/2Upc1QH17xHUoUoVUfedSA/E2MHDLp3_d_IuTd80q1lZ9_tuI2ieNe-U2pvB3dWBQZGDGQ8qFYlxjrn66CPQc5JBz2XH9tPQf2f--y5l-qYBas1VmKUuycqkqMLpQtHWbtdrRuqW2iCEGV9LVam5n4HkZuaxb2Do-MsVegaJ531_jS66F9J0g2dwi2PJbJR2VwRwnE36gwcrEXMoT-D-yNS/SzdWqYPcnbuKwUyyJAN_Oz4lS5Wj8AqkochTwic3iRc)",,P.V.C Fittings,P.V.C Fittings,,,,
70,8036,1800,₦350,,false,"1/2"" Tee","Ideal for directing water in multiple directions within 1/2"" piping systems. Commonly found in internal plumbing for sinks, toilets, or showers. Made of PVC, CPVC, or metal for strength. Compatible with low to moderate pressure systems. Offers versatile layout options for compact spaces. Used frequently in PPR and CPVC hot-water installations. Easy to maintain and long-lasting.","halftee2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/h4AxjjPklSpv3bbjmT7xtQ/DwnGcHkqx0L5nrOZmW7P4N7J3ddViZxBkWml2o76mKD1ww2xp9tZu2nrxkCy47WYEiJmfAUuYFSFfxojNS9GEWnTon3FzBpzeOBfPN7_K_6eV15pc2VA8QZXrMTRjjf5ZZnFlmCgMhpipdISz22c3OEAlZQEiQ82i_jzqT28YGPhSrOeZWP4BLfjhU5AO-dO/tP5ZVb2A_KaaWnKqYJ8UFqoQU-PAh96e_Q1yA-SD-tA),halftee-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/wwURY60Ow5TL-6SyDwdqGg/0hgKHKXJOpxFInPFUx9Z2dZeSsPoFsq5HC8H0J2G7wDkzhrYrdd4HD6wooWV5NGXL5dzzzhmhF1_Z51rGQObICZYRuOEolya-nZuY_XbYpPtIjR2etBq0ir-Ht12xAf1PgYTRYMlp5zNLRmq9PP1wNhlXSJKZRIIpPsU0kd4Ww5g7Bc856bAsPWyerCHEZer/-fXsolKtRkauTsdaUTT_ybLreXHNxwBZ0lUUNupxYF4)",,P.V.C Fittings,P.V.C Fittings,,,,
71,2948,1800,₦200,,false,"1/2"" Elbow","A 1/2"" elbow is a plumbing fitting designed to change the direction of flow between two 1/2-inch pipes, usually at a 90° or 45° angle. It is commonly used in tight or cornered spaces where pipes cannot run in straight lines. This elbow helps in efficient water distribution without compromising pressure or flow rate. It is made from durable materials like PVC, CPVC, brass, or copper depending on the application. The inner surface is smooth to reduce friction and prevent clogging. It is typically installed using solvent cement, soldering, or threading, depending on the pipe type. The 1/2"" elbow is widely used in residential bathrooms, kitchens, irrigation systems, and small-scale industrial piping setups.","halfebo-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/cV2GcR2eozbagorsI31ImQ/vun8-FLohkie8m76rn3yLqggLavIlcwyRjFsvuBj4v16sAu9ej0L0pg5pIr-0cXxIBcRk4D5KicgHj_6zbALbFl5N6pF9wQ4_LynOn9TrdqlMPzMGByrL8odfsslkWFqSzTWxThUUwDkVcAZecF-EMxOcS7VYpDLGcbNBTfbuwogMrWlM3givbgQnoY7jm-j/1Vsq0IK6f5R7PHfuj0ClPN5SFq16ugA8jBcyRgHA4E8),halfebow2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/--N__vw1jf0VPuQK0dsh2A/FEtS_HQC7wBdXGmioJtCtUK0uoogZC0I45yn1O6_YixcEh4ytMfZdTE0hErY5HB7ymI-9bN5m37PHzrITphv5s2hEt4xlXoM3i5UuXhLk1oA_iAxpu9nHNx9zX6DQOegjM_mUlxtSKveY9paip2DK32-K-4DNFOHLNfvYBt_2PkAMwA3lTkutPEplQ3lqvxr/It03MKiJE7eG2164H-h6OkwKSFNK2M2Av-WnmB24CgM)",,P.V.C Fittings,P.V.C Fittings,,,,"34,35"
72,1135,1800,₦300,,false,"1/2"" M/F Socket","This socket transitions between male and female thread types in 1/2"" pipe systems. It allows compatibility between threaded pipe ends and fixtures. Frequently used in plumbing renovations and pipe-to-fixture interfaces. Made from rust-proof and pressure-resistant materials. Essential in adapting fittings across different thread types. Reduces the need for couplers or extra joints. Common in water heater, shower, and pump connections.","3mfsoc-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ra4aei9i_B9kuWTzBS0zkQ/vFhxsUt-pULm3VaVEdnprSqRCFbAtqLhgDM2cOFSQjr8qtK9pT8l26MxGqjkysgtVQjh6qaW6cVPWJx3HUx8OmWjHK7uwwk5fafqepDiJ0vp4-qmoy2Gpze_utla1RTFiQs8icj509QRfB5qaYms_K-qgHnoCuikKtW_CzAYzWR9uC94cydXx93OQ46ToaFS/JFmftnW2vJ9hCyoxa_7n6D1HpGshV_kLy6f8RpkQxXY),3mfsoc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ebBdMCwkjG03o2VVfZ0h1A/KrrX2W_7umXBv8b4_VwAoYgG7FmvtXZi_al1yqaCRc71EXqSFA6J9jDXkylRaExF78x0pk5jzuTuvXp8o0oSpzuufXzIA7Pi2sZmzgqwT6JVM4fyngGALQnc2w8465mm6-f6O5HkPCP8udJ-_6N7eO9iWTPkkO3yRchnHq4Qd5Vjv3uYAXCHNnbQMfV0ld54/y2xjhSHvPADzsAOQH3_SEGhdy55PZ4YmEM1EceZAjs4)",,P.V.C Fittings,P.V.C Fittings,,,,
73,6754,1800,₦350,,false,"3/4"" M/F Socket","Acts as a connector for threaded transitions in a 3/4"" pipe system. Combines male and female threads in one fitting. Used when linking two different plumbing components. Ensures tight, leak-resistant joins. Made of brass, PVC, or CPVC. Durable and easy to install with hand tools. Great for outdoor taps or appliance hookups.","3mfsoc-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ra4aei9i_B9kuWTzBS0zkQ/vFhxsUt-pULm3VaVEdnprSqRCFbAtqLhgDM2cOFSQjr8qtK9pT8l26MxGqjkysgtVQjh6qaW6cVPWJx3HUx8OmWjHK7uwwk5fafqepDiJ0vp4-qmoy2Gpze_utla1RTFiQs8icj509QRfB5qaYms_K-qgHnoCuikKtW_CzAYzWR9uC94cydXx93OQ46ToaFS/JFmftnW2vJ9hCyoxa_7n6D1HpGshV_kLy6f8RpkQxXY),3mfsoc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ebBdMCwkjG03o2VVfZ0h1A/KrrX2W_7umXBv8b4_VwAoYgG7FmvtXZi_al1yqaCRc71EXqSFA6J9jDXkylRaExF78x0pk5jzuTuvXp8o0oSpzuufXzIA7Pi2sZmzgqwT6JVM4fyngGALQnc2w8465mm6-f6O5HkPCP8udJ-_6N7eO9iWTPkkO3yRchnHq4Qd5Vjv3uYAXCHNnbQMfV0ld54/y2xjhSHvPADzsAOQH3_SEGhdy55PZ4YmEM1EceZAjs4)",,P.V.C Fittings,P.V.C Fittings,,,,
74,7482,1800,₦450,,false,"1"" M/F Socket","Allows transition between male and female threaded ends on 1"" pipes. Great for valves, adaptors, and threaded pipe segments. Made from reinforced plastic or non-corrosive metal. Ensures a tight seal to avoid leaks under pressure. Ideal for systems where flexibility is required in fitting arrangements. Common in agricultural and commercial plumbing. Also used in tank installations.","3mfsoc-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ra4aei9i_B9kuWTzBS0zkQ/vFhxsUt-pULm3VaVEdnprSqRCFbAtqLhgDM2cOFSQjr8qtK9pT8l26MxGqjkysgtVQjh6qaW6cVPWJx3HUx8OmWjHK7uwwk5fafqepDiJ0vp4-qmoy2Gpze_utla1RTFiQs8icj509QRfB5qaYms_K-qgHnoCuikKtW_CzAYzWR9uC94cydXx93OQ46ToaFS/JFmftnW2vJ9hCyoxa_7n6D1HpGshV_kLy6f8RpkQxXY),3mfsoc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ebBdMCwkjG03o2VVfZ0h1A/KrrX2W_7umXBv8b4_VwAoYgG7FmvtXZi_al1yqaCRc71EXqSFA6J9jDXkylRaExF78x0pk5jzuTuvXp8o0oSpzuufXzIA7Pi2sZmzgqwT6JVM4fyngGALQnc2w8465mm6-f6O5HkPCP8udJ-_6N7eO9iWTPkkO3yRchnHq4Qd5Vjv3uYAXCHNnbQMfV0ld54/y2xjhSHvPADzsAOQH3_SEGhdy55PZ4YmEM1EceZAjs4)",,P.V.C Fittings,P.V.C Fittings,,,,
75,9406,1800,₦400,,false,"1/2"" M/F Elbow","Elbow fitting with male and female threaded ends for 1/2"" systems. Allows a sharp directional change with a threaded connection. Used when connecting appliances or outlets needing angle turns. Ensures easy assembly and disassembly. Provides compact and reliable jointing. Suitable for confined areas. Helps reduce the number of fittings required.","halfebo-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/x-p5HZU0FREl34HZGDP6Lg/yBPIR0y6h0oCWGy3vivZbF_3e7F40AX9rF6ZHlDxnCQOcoBt16johPuproYoLENdVMDFEkzAS5YKBhGAldGJ1nJAk2hB_DU8EhVfglpTE1IEnwbOQwV6npDr4F2PTmiRTK9p4Nup1wG81AwLxIj3hp11LmqJhxuxqzszIYgR_1a8R6zHq8z5jYV_sUTIdgls/4FHwfErATwGiefv9BlEU4eEXCTL2F3MeySM2ve2lobI),halfebow2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/NIG_3O2fYt9upUFlmhRq_Q/BWiTVdvbI9ivIufdZGp-2Jajv_dRqwdjGnqneOdPWfHtpKQTtT8sr8pILeFLO7xho70WhoaBernUp2dXK-Me4qN0G7eRTIC4QR34o7ZCiaULvXFZAgdbkcdbRB4u1ugRQGYK1yHpmYmMPe1mLakb6Ibntxh4NG9F4EC9KAh6dGHOqGiX_ECP-rbnCC3nIt39/5rQNn_oI3ctQcOymHgujFuCqhTWLto4nxkZT1UFTEjk)",,P.V.C Fittings,P.V.C Fittings,,,,
76,5093,1800,₦450,,false,"3/4"" M/F Elbow","Combines a 90° bend with threaded male and female ends. Perfect for plumbing requiring both directional change and detachable connections. Used in garden water systems, heaters, and pumps. Allows faster maintenance and setup. Corrosion- and heat-resistant. Helps reduce strain on pipes. Often part of flexible plumbing assemblies.","halfebo-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/x-p5HZU0FREl34HZGDP6Lg/yBPIR0y6h0oCWGy3vivZbF_3e7F40AX9rF6ZHlDxnCQOcoBt16johPuproYoLENdVMDFEkzAS5YKBhGAldGJ1nJAk2hB_DU8EhVfglpTE1IEnwbOQwV6npDr4F2PTmiRTK9p4Nup1wG81AwLxIj3hp11LmqJhxuxqzszIYgR_1a8R6zHq8z5jYV_sUTIdgls/4FHwfErATwGiefv9BlEU4eEXCTL2F3MeySM2ve2lobI),halfebow2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/NIG_3O2fYt9upUFlmhRq_Q/BWiTVdvbI9ivIufdZGp-2Jajv_dRqwdjGnqneOdPWfHtpKQTtT8sr8pILeFLO7xho70WhoaBernUp2dXK-Me4qN0G7eRTIC4QR34o7ZCiaULvXFZAgdbkcdbRB4u1ugRQGYK1yHpmYmMPe1mLakb6Ibntxh4NG9F4EC9KAh6dGHOqGiX_ECP-rbnCC3nIt39/5rQNn_oI3ctQcOymHgujFuCqhTWLto4nxkZT1UFTEjk)",,P.V.C Fittings,P.V.C Fittings,,,,
77,8642,1800,₦600,,false,"1"" M/F Elbow",Designed for high-flow plumbing requiring angle adjustment and a threaded transition. Used in pressure systems where disconnection is necessary. Offers great strength and sealing ability. Ideal for outdoor or exposed connections. Can be used in sprinkler systems and tank fittings. Made of heavy-duty plastic or brass. Ensures minimal joint failure under stress.,"halfebo-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/x-p5HZU0FREl34HZGDP6Lg/yBPIR0y6h0oCWGy3vivZbF_3e7F40AX9rF6ZHlDxnCQOcoBt16johPuproYoLENdVMDFEkzAS5YKBhGAldGJ1nJAk2hB_DU8EhVfglpTE1IEnwbOQwV6npDr4F2PTmiRTK9p4Nup1wG81AwLxIj3hp11LmqJhxuxqzszIYgR_1a8R6zHq8z5jYV_sUTIdgls/4FHwfErATwGiefv9BlEU4eEXCTL2F3MeySM2ve2lobI),halfebow2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/NIG_3O2fYt9upUFlmhRq_Q/BWiTVdvbI9ivIufdZGp-2Jajv_dRqwdjGnqneOdPWfHtpKQTtT8sr8pILeFLO7xho70WhoaBernUp2dXK-Me4qN0G7eRTIC4QR34o7ZCiaULvXFZAgdbkcdbRB4u1ugRQGYK1yHpmYmMPe1mLakb6Ibntxh4NG9F4EC9KAh6dGHOqGiX_ECP-rbnCC3nIt39/5rQNn_oI3ctQcOymHgujFuCqhTWLto4nxkZT1UFTEjk)",,P.V.C Fittings,P.V.C Fittings,,,,
78,7021,1800,₦700,,false,"3/4*1/2""  Socket","This reducer socket allows connection between a 3/4"" pipe and a smaller 1/2"" pipe. It's commonly used when a plumbing line needs to transition to a smaller diameter. Useful in water distribution where branch lines require less flow. Ensures leak-proof connections with solvent welding or threading. Made of durable, pressure-resistant materials. Ideal for residential and garden water systems. Helps conserve water in smaller outlets.","1by3socke-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/-bbrfji8RJS8zbK_L8l8kg/wywey67DfkjYxiwx09rCU_AqyYV25azgy5kFFjCCqogkO8Pw3jZbZtooqZ-mPkipjCJA1cdW5rx1fd6TJn6V8WY09gpQW5IuElKS5pAkOwS4KtzkE092MHMFUSojlyQ7XJSxJGE2hYqHMvr_RHBSt-Fv4UHkreL4vz0A2_X0OC2ZmoiitLR0qz0ZhhprdETx/0YPs0RXmiz1mnMXzVA0fbFxMM7btDSJXW7c8Ssf3jQE),1by3soc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/UMxdFgBsBaNG8Y82xdHTmw/0t85lqXxCuXwZ5yeIwj7eYxrFRbYCKtnTmGbV2lOKk2usdBrtKPLn-N8MOiXPE5d2OV62PdcmSbxDGPzU5lxq_8k_TcuRN14O02GP1P291mPR8ntj_ZLDiI-Yh-WiIikcy4k5c0ogs6Ff0xjiNJDYvHFAAtJA0Q93g_3r3daDgeOIOhwwjeMkeQuLg2ex65C/fzulFjKvyJn-CCp9Ng6zQgFsXJ2u-eWFU_s-B9Owa5o)",,P.V.C Fittings,P.V.C Fittings,,,,
79,3950,1800,₦690,,false,"1*1/2""  Socket","A large-to-small pipe reducer that connects a 1"" pipe to a 1/2"" pipe. Helps adapt flow from a main supply to small appliance lines. Strong and versatile for indoor and outdoor use. Installed using glue or thread depending on material type. Minimizes pressure loss during reduction. Frequently used in tap and sprinkler systems. Made from corrosion-resistant PVC or brass.","1by3socke-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/-bbrfji8RJS8zbK_L8l8kg/wywey67DfkjYxiwx09rCU_AqyYV25azgy5kFFjCCqogkO8Pw3jZbZtooqZ-mPkipjCJA1cdW5rx1fd6TJn6V8WY09gpQW5IuElKS5pAkOwS4KtzkE092MHMFUSojlyQ7XJSxJGE2hYqHMvr_RHBSt-Fv4UHkreL4vz0A2_X0OC2ZmoiitLR0qz0ZhhprdETx/0YPs0RXmiz1mnMXzVA0fbFxMM7btDSJXW7c8Ssf3jQE),1by3soc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/UMxdFgBsBaNG8Y82xdHTmw/0t85lqXxCuXwZ5yeIwj7eYxrFRbYCKtnTmGbV2lOKk2usdBrtKPLn-N8MOiXPE5d2OV62PdcmSbxDGPzU5lxq_8k_TcuRN14O02GP1P291mPR8ntj_ZLDiI-Yh-WiIikcy4k5c0ogs6Ff0xjiNJDYvHFAAtJA0Q93g_3r3daDgeOIOhwwjeMkeQuLg2ex65C/fzulFjKvyJn-CCp9Ng6zQgFsXJ2u-eWFU_s-B9Owa5o)",,P.V.C Fittings,P.V.C Fittings,,,,
80,4832,1800,₦540,,false,"1*3/4""  Socket","Used to join a 1"" pipe to a 3/4"" pipe in systems where flow size needs to be reduced. Maintains water pressure efficiency with smooth inner walls. Suitable for irrigation, industrial cooling, or plumbing distribution. Ensures a secure seal against leaks. Commonly made from high-grade plastic or brass. Designed for easy and quick installation. A reliable component in flow-controlled networks.","1by3socke-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/-bbrfji8RJS8zbK_L8l8kg/wywey67DfkjYxiwx09rCU_AqyYV25azgy5kFFjCCqogkO8Pw3jZbZtooqZ-mPkipjCJA1cdW5rx1fd6TJn6V8WY09gpQW5IuElKS5pAkOwS4KtzkE092MHMFUSojlyQ7XJSxJGE2hYqHMvr_RHBSt-Fv4UHkreL4vz0A2_X0OC2ZmoiitLR0qz0ZhhprdETx/0YPs0RXmiz1mnMXzVA0fbFxMM7btDSJXW7c8Ssf3jQE),1by3soc2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/UMxdFgBsBaNG8Y82xdHTmw/0t85lqXxCuXwZ5yeIwj7eYxrFRbYCKtnTmGbV2lOKk2usdBrtKPLn-N8MOiXPE5d2OV62PdcmSbxDGPzU5lxq_8k_TcuRN14O02GP1P291mPR8ntj_ZLDiI-Yh-WiIikcy4k5c0ogs6Ff0xjiNJDYvHFAAtJA0Q93g_3r3daDgeOIOhwwjeMkeQuLg2ex65C/fzulFjKvyJn-CCp9Ng6zQgFsXJ2u-eWFU_s-B9Owa5o)",,P.V.C Fittings,P.V.C Fittings,,,,
81,6179,1800,₦500,,false,"1*1/2""  Elbow","This reducer elbow connects a 1"" pipe to a 1/2"" pipe at an angle, usually 90°. It enables both flow direction and pipe size change. Useful in corner installations or compact spaces. Ensures smooth water transition with minimal turbulence. Compatible with multiple piping systems like PVC and PPR. Offers great flexibility during repairs or modifications. Often found in irrigation or vertical risers.",1halfebow-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/P2Qm0yfamwBCTtz1lYdeZQ/g5kw8pGjOQA4-HzX_-tQ8g12BX2I7082XuargTSTBUB5o5jyQk3SEJNcz_1VcczXnrD0r113sgFE3A8dKVEdktMtn_WJBOCvjJbMKbtBXPwnzw507mNKRaKPJROj5JIyLbTnlyGzooSpxNsVYV_U9ZNDGz-hu4qmeJnj-hYTd8VwR2YXMzgJ22P7uJZ8l6TK/r3L3K9qctQWqxT85JAJnAZh3x5cAFEeQXiqCg20RfuA),,P.V.C Fittings,P.V.C Fittings,,,,
82,1290,1800,₦740,,false,"3/4*1/2"" Elbow","An angled reducing elbow that connects 3/4"" pipe to 1/2"", allowing flow redirection. Often used in household plumbing where pipework bends around obstacles. Prevents excessive water pressure buildup. Made with high-grade plastics or brass. Ensures secure connection and flow control. Perfect for compact bathroom or kitchen plumbing. Allows smooth transition without disturbing the pipe layout.","3half_elbow-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/9DxKbfdi0q1K_S5u7xMwvw/bs3XdjTNZiuv6_3jk5O-1sp8JiDc2cmW8k-ENmFdzW3cg6yECJQGndy2rHY5hZJRk7_PB8TZBpSBMQzxGQLdgQwAJqcFiZxBfOEcjQGgJWqht-Q1TW1BsSC-PXgzqqCc6TjxEraRngVw7KrB2tyh_rAwJ_HokowoNeN836TafUxkfjAnBYZVUYWpT6gBMVBs/JtX3A6KkGef2MBF4P43fu9MiI5e1d6FN75IzJABMq18),3halfebow2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/dxAGjQA8rSC-ZV8dorU4gA/iJ9gpCs-WB_qFBMrbOL_ctKjKNZUnG3Uf4BPdkf5kfe-36Vo1-MiinGNzkW29qiGB4LTUEMbLlLO5I_k3lxZXSSrNThx05BN1_Lo3AzHicmfeSR2_iz5xRyO2IAEvcF1x0Z7drSGw0yKnODwydEal87NV0IarbBmPqeb4DLppExgBTOSB995P8mptjGnVf6x/OUzyhzWBl0hQr81WKNYGk8KOTxB9KgAr66DUY5PFK-k)",,P.V.C Fittings,P.V.C Fittings,,,,
83,8307,1800,₦500,,false,"1*3/4"" Elbow","Transitions 1"" pipe to 3/4"" with a directional change, typically 90°. Useful when piping layout needs to reduce size and bend around walls. Prevents excessive fittings by combining two roles. Made from heat- and pressure-resistant materials. Used in both residential and commercial systems. Aids efficient flow control. Reduces space usage in tight installations.",1by3ebow-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/3qSHbe1d277gJAwRBzkX4Q/8B3WMphwO-PJvDG7EXQ08sdF8kFlDt3AOMbdceK8zEf6xKN21RgfZC82pU3d0lxClp64ypF14Q5H73aX7oxa60VoAsmF_09GiQ8qD0quhUU0mMvh3jHmEynX1QgTESNBbZ-gvPGx8yho-66SJadkOFJU6Z_-A15LjbS3b7_Y-cWzRwmd5n3TZEZonec1AQnL/OaRT8OrDaWF05OUx_RiOoETzW1gXo2cUR2pU9HyL5go),,P.V.C Fittings,P.V.C Fittings,,,,
84,7546,1800,₦500,,false,"1"" Adaptor","Used to connect threaded pipe ends to unthreaded pipes in 1"" systems. It serves as a transition between two different connection methods. Typically made of PVC, brass, or copper. Ensures water-tight fit for both pressure and non-pressure lines. Common in pump systems and tank outlets. Helps reduce installation time. Supports both solvent-weld and mechanical fastening.","1adap2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/ca1JGyPegKkX6dGGGdqVTQ/HJzv5TfUgSauvUYWTasV5GUNwV6j1AHKyy3-Qo_8MPJfOPofRCD5-i3Nb0kwMpUqpo_aXv2lHJ6AA19GVB1RM6HfNDmrl2HtfxVvSLGQ2F0t4S981iIemyXHSk9EeQKSBseRl7DnYEufy0tOoEKvmC6hLohNaQKLRRZ4pEUdbVEjkyD5rl6IzHEsh7QIvBwV/1FeYNSKxUiSOFT12GZX693RWSxMQlDvu6tBRfUU6Qeo),1adap-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/Sk_t2l2ev5tHbVlxU2NdpQ/Ix4VHmC_CZjnLZL_0dplfnmJf-i7a-lcrxyTk-uEedFL1vX9P-3E1NKYFsCIjfH4_j0sPEuIDTVQmEBY02NnTgF6KKSCJVOFqlvxL9waSc6b_fp2RjgdyIIgQaFU62niBTWYNaTuEeTYxyQ6Oc0E43fRBXDEGEXDkeYhmRktwIylCXnbiAOAR-NJDSRmFjk7/CHmBl8D7VZ4ufarq-2GRrJgioJMZPPj3GFrR9T4p6cU)",,P.V.C Fittings,P.V.C Fittings,,,,
85,2408,1800,₦400,,false,"3/4"" Adaptor","This adaptor links 3/4"" pipes with different end types, like male or female threads to plain ends. Ideal for linking plumbing systems to devices like taps or hoses. Available in different materials for hot or cold water. Ensures long-term durability with proper sealing. Prevents leaks with a compact and strong body. Very easy to install or detach. Common in DIY and residential setups.",3adap-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/6oenSe0Klw0QNaQTdl4QOA/01da8vWBNFmiWl7Jt5flNknowAFxU0K6J3v6bsrubGsLAYeCD7TG0AWb1XnQX1tpH5rP_RwyEYS8XvK1HRc57oECCfpkLFqZwqWq9xa8mL-koQIABbNHGP8vkEJoLcraQFtbfvQAOFp0t9sORpfgth0NIjoBRbBo5ShW9Vphr3Y9fkrJgE4ezTy8jUq7wlP_/nNsHh3GlaXCx0rS0b90tPVewQBeo6IPfxkKxg2rggII),,P.V.C Fittings,P.V.C Fittings,,,,
86,6675,1800,₦350,,false,"1/2"" Adaptor","Creates a reliable connection between threaded and non-threaded 1/2"" pipes. Especially useful in sinks, toilets, or water heaters. Allows connection flexibility in confined areas. Often used in both temporary and permanent systems. Resistant to rust and scale formation. Easy to maintain and replace. A go-to part for repairs and fixture installations.","halfadap-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/iexynohyK6VEn611Eq46gQ/kSFjEJ_BpDPTrxSoyD4KPFF2hg085X5-o7fTylQQni1kR85sBt3XwFW3nw48B5YnyZFKPez0WngEvakjMdtp2hL3ze3zsT8QHB2Xlr0ls1-EJNTxgfh29KTLbbcuQiXnEX3C56ljggd3OUuh4Y8yRDNvZSOJECrV1gmimBCf6AH-xIQIMYm6vebdR09WBPzZ/peNU-XOh2nDoGccxea5G93hsRidE93FF7dGZ1wFuAGw),halfada2-removebg-preview.png (https://v5.airtableusercontent.com/v3/u/46/46/1761127200000/uMYuLzlveLt6XLmJjqmDlw/edfz2cY7Y2IIHYpRvloBlqK__pWKNzEsMjvHeJDRiJOcafwqqVR0vyy7LBeuCW3gxUp2NMwBufQnQqRBx4Zza3H5fbw_IQ1HB1lVZblfMCUxI06WfphRypScWSIGCa_wX2QItBZq9_KUas6GwOchlBKaV16rZgLVYbc8kPsrMVlnRl4_fUfWiaJyHUN9z68-/FqOjV6xobsGCGhz1SU1-tiSZTtiIOlzJ8SuBSgk9p7A)",,P.V.C Fittings,P.V.C Fittings,,,,
